"","math","reading","science","escs","pct_internet","pct_computer"
"ALB",368.352187523374,358.446137847344,375.073733401586,-0.751455155874625,0.897938043669842,0.751877904016091
"ARE",431.496902291615,417.865053996444,433.102767644682,0.296656380404827,0.948148411737345,0.943586786278874
"ARG",377.967325815819,400.923353340785,404.27065925777,-0.801973753310747,0.89402206693854,0.673932447009036
"AUS",486.553773540351,498.20771041813,506.435434286813,0.379366600098664,0.983895466531748,0.962510898688057
"AUT",487.593331036032,480.604566350285,490.482388425675,0.06906735838519,0.982416746891518,0.970676908204667
"BEL",489.815818812797,479.304372006539,490.272216031925,0.0828763345344359,0.989737843178391,0.947099186252251
"BGR",417.380446442923,404.139539204217,421.18280196957,-0.272206493751914,0.973896625816146,0.911259693481954
"BRA",377.799447131253,411.503697876663,403.398334582343,-0.991472963366398,0.926084319382719,0.548772787853788
"BRN",441.64726642405,429.749400677812,446.332865476115,-0.257257511690782,0.916422044107121,0.730015395357586
"CAN",496.913214732093,506.492742334583,513.979991122628,0.381102083434957,0.987020300393273,0.955348169323274
"CHE",507.867654519246,482.681229040858,502.902249733977,0.16916674411869,0.970690728674992,0.9530065041648
"CHL",412.100840407907,448.229674660154,444.579129145236,-0.508649292714338,0.930700660776555,0.845259611268233
"COL",383.081700488482,408.23062579125,411.692542039822,-1.06512486660668,0.763561823894676,0.61545895934695
"CRI",384.600302473372,415.305043511539,412.073087892062,-0.257257511690782,0.959680172983087,0.890989479690326
"CZE",487.395365307935,487.971828450889,498.154334954493,-0.104086068874434,0.990532033865115,0.960857940429626
"DEU",474.834921276406,478.978275566717,492.007744847742,-0.136990018018121,0.980717271002579,0.941901132256673
"DNK",488.429685179526,489.009624745499,492.74839907735,0.476077739419443,0.978679579944051,0.96447601351613
"DOM",339.05332448618,352.040394948649,360.495809321033,-0.709696376356829,0.806304239376264,0.657642981005432
"ESP",472.754845686039,474.455867327835,485.349874362688,-0.0331994972649318,0.984770418366253,0.947922290177701
"EST",510.215562932058,511.815810912391,524.972291611433,0.150725188109639,0.989115455310328,0.976570884575716
"FIN",484.157798904024,491.342868629507,511.709416552256,0.258482836793761,0.97535548025228,0.942854269317225
"FRA",473.782185783986,474.658014525167,487.18797062432,0.000185390793041175,0.967884387626439,0.935776129234242
"GBR",489.242101957364,494.533751807051,499.204765636896,0.13638065860924,0.992266586060553,0.940052959756462
"GEO",390.025910237737,372.594813516449,384.542122520313,-0.466094044486856,0.914404309720092,0.657792887747299
"GRC",430.809746378836,437.429149568835,441.11316662769,-0.154869593520962,0.976983292714,0.884457378317557
"GTM",344.072471495107,375.424528105723,373.250551856128,-1.51289621639086,0.7026844966798,0.58864727823973
"HKG",539.647143882525,498.991865840344,520.754856007823,-0.461857937191166,0.979843520549688,0.928494737309892
"HRV",462.997913024154,474.51568435821,482.799772460073,-0.151963599911723,0.988844014747561,0.965755248415159
"HUN",473.56137453431,472.62328802619,485.415932032605,0.00297822717063947,0.987708434874652,0.949444047373055
"IDN",365.59943426556,358.718176024641,382.019509782033,-1.55584702339635,0.446414950098431,0.472268934853602
"IRL",492.549085305347,517.139346768074,503.92559862925,0.332979137138496,0.987051503054817,0.912981521428179
"ISL",457.672886718135,435.206001570973,447.842861577972,0.378105123799281,0.986433513239111,0.970809691662814
"ISR",457.754960987004,473.516312869047,464.662431542073,0.279956996073663,0.946779915189847,0.940934995520625
"ITA",471.785514247412,482.574956172509,479.326723041286,-0.100210476253155,0.959680172983087,0.948309034541846
"JAM",375.968939514937,408.233650784065,403.917461444157,-0.550335562069364,0.848728155141017,0.7232258474682
"JOR",360.136777766878,342.599176990906,375.432792394222,-0.816457170068552,0.789436729444574,0.575791141969474
"JPN",536.271120974773,516.178536405909,546.116843109423,-0.00682502170976177,0.958806931406312,0.851242881212041
"KAZ",425.536333106498,386.339652401696,423.282574079013,-0.372366745220992,0.850838016969726,0.754273148715154
"KHM",335.467372996623,328.762655358343,346.428566331286,-2.0113231811312,0.33888925592786,0.221298937027623
"KOR",527.693175119387,516.146699297148,526.882752591808,0.224385685498611,0.991065734433842,0.94450075052414
"KSV",355.271734871642,341.952328297439,356.971092889026,-0.34323317685216,0.889960495142851,0.840824710200554
"LTU",475.962788237955,471.589828103692,485.21155962516,0.0522950661242312,0.984056308787892,0.974184535926474
"LVA",483.042739058014,474.880885763142,493.235915974459,-0.00948252342791961,0.972928560804372,0.968638346045316
"MAC",551.52785838156,509.508047023203,543.0974018343,-0.448894121020997,0.986762555046319,0.939432233338476
"MAR",365.330579597842,338.701970611865,364.61196747277,-1.7845360016671,0.633217391106881,0.486365915814221
"MDA",414.545231782738,410.598551898731,415.638318911509,-0.522542343064163,0.949513979925769,0.797714462710154
"MEX",394.51308958106,416.115463295237,409.893901339511,-0.952437325571645,0.861663627283642,0.662600208105761
"MKD",388.435049742481,358.829175206929,380.527184949716,-0.279816649731009,0.956298425628024,0.893510952328385
"MLT",466.334466768455,445.471352766557,466.515838899945,0.0192494696389181,0.979996940771681,0.955570808934151
"MNE",405.628534188456,405.579360276917,404.035682751716,-0.205516828782869,0.964102316190269,0.86174062422276
"MNG",425.357539159205,377.435340352389,412.102107524405,-0.72914886255899,0.751885789685132,0.498432254601152
"MYS",408.553425758309,388.511133557217,416.246009479561,-0.684891497798467,0.645667003543988,0.632934724867302
"NLD",492.412417549098,460.789101916799,488.348489405279,0.253460782280093,0.994136557364649,0.968240634133593
"NOR",468.48832272385,477.212667299048,479.100437354545,0.521497114481319,0.989002428938252,0.973960128196902
"NZL",477.80139396568,500.984955442302,505.059067608435,0.219063599197657,0.988343098490358,0.951041713885506
"PAN",356.810908306181,392.47503364288,389.281527613159,-0.946763279821178,0.722601530664524,0.63499166206886
"PER",391.042945115639,408.036464025117,408.106178649152,-1.15349736687009,0.602029466719643,0.59046935621956
"PHL",354.072192713781,346.815019098716,354.666686364062,-1.33790037233994,0.691810657302831,0.525458242419988
"POL",489.425411116784,488.661147869816,499.618913540615,-0.105140685151639,0.988035810940751,0.976094827433559
"PRT",471.957704423911,478.682309784075,484.990707279277,-0.226355259943462,0.992975998499556,0.953586933174338
"PRY",337.674586761259,373.2222631608,368.696818345003,-1.24490739556031,0.747090463506614,0.430194004656063
"PSE",364.585167440813,348.574460302813,368.024492352604,-0.911949197704143,0.786704811700966,0.604444320252299
"QAT",413.523152138835,418.972871342141,432.832234214356,0.10747423028135,0.926851034816219,0.861292198818764
"QAZ",397.811011242077,364.787858726029,380.088073166547,-0.50934247576698,0.915708593154938,0.633004103815172
"QUR",441.048096017859,426.887421122088,450.844621539824,-0.351067368936981,0.972060822243917,0.874157694049898
"ROU",427.434027118248,427.361340883883,426.735885399191,-0.362126555666946,0.965054677083881,0.870514843230822
"SAU",389.77374131965,382.667902890659,389.466530896313,-0.289608924015052,0.92077869870145,0.72062758733948
"SGP",575.016640247767,544.513549161453,561.416334670711,0.306448231869042,0.99281703489378,0.976759643585864
"SLV",344.621643642897,366.56673797859,373.797420182692,-1.39159815670418,0.686032881242987,0.890989479690326
"SRB",439.185447755249,441.817282668872,446.848617741311,-0.202393886896231,0.985553337804373,0.941184993088866
"SVK",463.868777471658,447.664140393421,462.204799332889,-0.302996663847976,0.978385385258686,0.898051969644742
"SVN",484.990311109334,468.931896257657,499.843276155983,0.225808263835105,0.993288167107373,0.979931809614483
"SWE",481.304964677805,485.948572119992,493.338310804362,0.326591020590027,0.988710849715424,0.969023452600727
"TAP",547.126795214928,515.50819889408,537.998190920973,-0.185413010961948,0.86518110392269,0.857678857669351
"THA",394.23639379471,379.071562024488,409.937581669888,-1.23103864602314,0.742890221607498,0.44864974657142
"TUR",453.541573750052,455.716831050225,476.848890239888,-1.18544304825989,0.863566281410786,0.725188174782794
"URY",408.504948073334,430.535248033315,432.788636703105,-0.832853715471728,0.895902876245587,0.824852647844063
"USA",463.977836919411,505.412388098576,500.259086807506,0.0561628685744663,0.978993842808004,0.946178724205168
"UZB",364.532249255344,336.510051041975,355.203463568698,-0.688679368997939,0.635285530736108,0.572662303465395
"VNM",469.944257867041,461.995219718872,473.455277252874,-1.28841808846069,0.895922147299645,0.533785798522753
